Place URL,Place Name,avg_rating,Reviewer Name,Rating,Review Date,Review URL,Review Text
https://www.google.com/maps/place/Satkar+Restaurant/data=!4m7!3m6!1s0x3be04f237b521f13:0x5397153e10d04762!8m2!3d21.1689004!4d72.8398849!16s%2Fg%2F11rmtllz40!19sChIJEx9SeyNP4DsRYkfQED4Vl1M?authuser=0&hl=en&rclk=1,Satkar Restaurant,4.1,Sohel Kadodwala (Shahil Kadodwala),5 stars,2023-08-09,https://maps.app.goo.gl/8JVUDA3Wquj1Y8NRA,"  Service: 5, Atmosphere: 5"
https://www.google.com/maps/place/Satkar+Restaurant/data=!4m7!3m6!1s0x3be04f237b521f13:0x5397153e10d04762!8m2!3d21.1689004!4d72.8398849!16s%2Fg%2F11rmtllz40!19sChIJEx9SeyNP4DsRYkfQED4Vl1M?authuser=0&hl=en&rclk=1,Satkar Restaurant,4.1,narbadesh kumar,4 stars,2023-12-09,https://maps.app.goo.gl/zWeZFobzzmUmVC8F6,"  Service: 4, Atmosphere: 4"
https://www.google.com/maps/place/Satkar+Restaurant/data=!4m7!3m6!1s0x3be04f237b521f13:0x5397153e10d04762!8m2!3d21.1689004!4d72.8398849!16s%2Fg%2F11rmtllz40!19sChIJEx9SeyNP4DsRYkfQED4Vl1M?authuser=0&hl=en&rclk=1,Satkar Restaurant,4.1,Vicky Kudale,5 stars,2023-04-09,https://maps.app.goo.gl/S29Cghj1CBxgqHyi9,  
https://www.google.com/maps/place/Satkar+Restaurant/data=!4m7!3m6!1s0x3be04f237b521f13:0x5397153e10d04762!8m2!3d21.1689004!4d72.8398849!16s%2Fg%2F11rmtllz40!19sChIJEx9SeyNP4DsRYkfQED4Vl1M?authuser=0&hl=en&rclk=1,Satkar Restaurant,4.1,ritesh chavhan,5 stars,2023-09-09,https://maps.app.goo.gl/XcZMesCZrUsyGZYB6,"  Service: 5, Atmosphere: 4"
https://www.google.com/maps/place/Satkar+Restaurant/data=!4m7!3m6!1s0x3be04f237b521f13:0x5397153e10d04762!8m2!3d21.1689004!4d72.8398849!16s%2Fg%2F11rmtllz40!19sChIJEx9SeyNP4DsRYkfQED4Vl1M?authuser=0&hl=en&rclk=1,Satkar Restaurant,4.1,Rahul Samatiya,5 stars,2024-02-09,https://maps.app.goo.gl/6NG9ma32Jdvk91FV7,  
https://www.google.com/maps/place/Satkar+Restaurant/data=!4m7!3m6!1s0x3be04f237b521f13:0x5397153e10d04762!8m2!3d21.1689004!4d72.8398849!16s%2Fg%2F11rmtllz40!19sChIJEx9SeyNP4DsRYkfQED4Vl1M?authuser=0&hl=en&rclk=1,Satkar Restaurant,4.1,Jitu prajapati,5 stars,2024-03-09,https://maps.app.goo.gl/UPFKYqwf1iGk8rZeA,"  Service: 5, Atmosphere: 5"
https://www.google.com/maps/place/Satkar+Restaurant/data=!4m7!3m6!1s0x3be04f237b521f13:0x5397153e10d04762!8m2!3d21.1689004!4d72.8398849!16s%2Fg%2F11rmtllz40!19sChIJEx9SeyNP4DsRYkfQED4Vl1M?authuser=0&hl=en&rclk=1,Satkar Restaurant,4.1,Yash Bauvawala,4 stars,2023-04-09,https://maps.app.goo.gl/eratSA6goZjUpqyLA,  
https://www.google.com/maps/place/Satkar+Restaurant/data=!4m7!3m6!1s0x3be04f237b521f13:0x5397153e10d04762!8m2!3d21.1689004!4d72.8398849!16s%2Fg%2F11rmtllz40!19sChIJEx9SeyNP4DsRYkfQED4Vl1M?authuser=0&hl=en&rclk=1,Satkar Restaurant,4.1,Kedar Rakesh,5 stars,2023-04-09,https://maps.app.goo.gl/A1SgbVnasmYPrk3F6,  
https://www.google.com/maps/place/Satkar+Restaurant/data=!4m7!3m6!1s0x3be04f237b521f13:0x5397153e10d04762!8m2!3d21.1689004!4d72.8398849!16s%2Fg%2F11rmtllz40!19sChIJEx9SeyNP4DsRYkfQED4Vl1M?authuser=0&hl=en&rclk=1,Satkar Restaurant,4.1,devendra bhagat,4 stars,2024-02-09,https://maps.app.goo.gl/stBVotARGrVZLi7aA,"  Service: 3, Atmosphere: 3"
https://www.google.com/maps/place/Satkar+Restaurant/data=!4m7!3m6!1s0x3be04f237b521f13:0x5397153e10d04762!8m2!3d21.1689004!4d72.8398849!16s%2Fg%2F11rmtllz40!19sChIJEx9SeyNP4DsRYkfQED4Vl1M?authuser=0&hl=en&rclk=1,Satkar Restaurant,4.1,Vimlesh Verma,5 stars,2023-07-09,https://maps.app.goo.gl/Fm1f35kcAoMXest1A,"  Meal type: Dinner, Price per person: ₹200–400, Food: 5, Service: 5, Atmosphere: 5, Parking space: Not sure, Parking options: Free street parking"
https://www.google.com/maps/place/Satkar+Restaurant/data=!4m7!3m6!1s0x3be04f237b521f13:0x5397153e10d04762!8m2!3d21.1689004!4d72.8398849!16s%2Fg%2F11rmtllz40!19sChIJEx9SeyNP4DsRYkfQED4Vl1M?authuser=0&hl=en&rclk=1,Satkar Restaurant,4.1,Simran Kherani,3 stars,2023-09-09,https://maps.app.goo.gl/QVmPpaUbo4BAYQQ68,  
